time,cylinder_pressure,brake_power,air_fuel_ratio,boost_pressure,exhaust_temp,rpm,injection_timing,vibration
0.046,66.2036,45.1485,14.9108,1.7363,523.8151,2240.9403,13.0498,0.3661
0.047,63.697,46.0402,14.7118,1.7581,523.4124,2245.891,12.7789,0.2509
0.048,61.1479,46.3096,14.7509,1.8403,522.9074,2247.2624,12.5285,0.0762
0.049,59.9433,46.3726,14.5746,1.9118,520.2982,2249.8896,12.274,-0.2525
0.05,60.0796,47.2262,14.5443,2.0136,520.8226,2248.8244,11.9733,-0.0639
0.051,60.1304,46.9556,14.3732,2.1043,520.569,2249.6978,11.6737,0.2684
0.052,59.1471,47.6405,14.258,2.2314,516.573,2248.3107,11.3545,-0.1534
0.053,56.711,48.2321,14.2422,2.2863,516.61,2243.388,11.1401,-0.2787
0.054,53.6379,48.5081,14.1563,2.2559,514.9569,2238.5996,10.9861,-0.2544
0.055,50.5382,48.9124,14.0081,2.2837,512.5459,2238.0192,10.9646,-0.7264
0.056,47.6921,49.2702,14.0849,2.2056,512.5497,2228.3438,11.0654,-0.8685
0.057,47.4957,49.2685,14.0579,2.162,510.8148,2218.5026,11.1844,-0.4595
0.058,49.225,49.4339,14.0179,2.0584,509.0665,2212.5338,11.4324,-0.3166
0.059,54.6841,49.9986,14.0039,1.9174,509.8598,2208.262,11.6035,-0.1567
0.06,60.0205,50.0276,14.0084,1.7691,509.1395,2199.0629,11.9306,0.249
0.061,66.3662,49.8688,14.0732,1.7646,508.2449,2191.9597,12.4033,0.6105
0.062,70.5579,50.0514,14.1718,1.6782,508.3767,2180.76,12.6328,0.3209
0.063,72.4709,50.0062,14.1571,1.7211,506.0112,2177.5497,12.7337,0.1602
0.064,72.3555,50.1544,14.2964,1.7602,504.0521,2171.0682,13.0024,0.4216
0.065,69.4622,49.8963,14.3899,1.8222,502.265,2168.2277,13.0365,0.2233
0.066,67.1866,49.3804,14.4238,1.9308,502.9684,2160.6788,12.9819,0.0995
0.067,62.6402,49.4076,14.4388,2.0483,502.1684,2151.4378,12.8764,0.6106
0.068,60.3012,49.224,14.6115,2.1352,499.2085,2152.2065,12.5886,0.7966
0.069,59.3791,48.9226,14.6384,2.2176,500.4548,2153.5871,12.3552,0.2923
0.07,60.4183,48.6631,14.7863,2.2921,499.9737,2148.1378,12.011,0.2266
0.071,59.7764,48.5579,14.8694,2.3183,500.5634,2151.8481,11.8174,0.0222
0.072,58.5044,48.3075,14.8761,2.2713,499.548,2151.8423,11.4079,-0.6025
0.073,56.496,47.8132,15.0275,2.1955,499.0827,2154.1042,11.2188,-0.888
0.074,52.9783,47.4287,15.0209,2.1297,499.9849,2157.7574,11.062,-0.4654
0.075,49.8184,46.7908,15.0475,1.9743,501.3319,2164.0772,10.9904,-0.5578
0.076,46.9927,46.7868,14.9513,1.8673,499.5429,2170.6046,11.0898,-0.452
0.077,47.4372,46.6842,14.9773,1.8195,501.7055,2174.8609,11.1528,0.0098
0.078,49.7324,46.0109,14.8911,1.7191,500.3462,2179.8566,11.4279,0.0196
0.079,54.0389,45.9517,14.8678,1.7073,500.0083,2192.3276,11.7148,-0.2842
0.08,60.2911,44.7927,14.8161,1.6938,500.8122,2199.8249,11.8952,-0.2116
0.081,65.5336,44.6357,14.7752,1.796,501.6526,2204.6047,12.3229,0.0806
0.082,71.06,44.1485,14.6811,1.8696,500.4483,2215.5131,12.5158,-0.1227
0.083,71.6248,44.0822,14.4432,1.9654,501.7192,2225.2329,12.867,0.3521
0.084,72.585,44.3698,14.4343,2.0689,502.8994,2228.4278,13.0098,0.7657
0.085,70.2844,44.3034,14.3849,2.1518,502.4711,2234.361,12.9579,0.8486
0.086,66.4118,43.9411,14.335,2.3006,503.6812,2241.5778,12.9732,0.5577
0.087,62.9329,44.463,14.2124,2.3093,507.5877,2244.7101,12.8393,0.5832
0.088,61.1926,44.0263,13.9838,2.2799,505.6525,2250.2701,12.585,0.2325
0.089,59.9594,43.8296,14.0769,2.2193,506.3828,2252.9131,12.3429,-0.3311
0.09,59.68,43.765,14.0641,2.1958,509.0949,2250.3034,12.0846,-0.2662
0.091,60.4418,44.5029,13.9157,2.0909,510.0743,2249.968,11.6636,-0.1255
0.092,58.0873,44.5004,14.0266,1.9837,509.5807,2248.0137,11.4251,-0.3793
0.093,56.807,44.9257,13.9962,1.8491,510.5115,2245.8805,11.1565,-0.2585
0.094,53.2594,44.8346,14.0734,1.7722,511.9825,2239.3776,11.0991,0.0624
0.095,50.7757,45.2158,14.0546,1.705,513.2412,2234.3983,11.0139,-0.3696
0.096,48.1971,45.8814,14.1346,1.7306,513.52,2228.7807,11.0508,-0.7855
0.097,46.8652,46.0662,14.2659,1.7634,515.5091,2221.1091,11.1956,-0.48
0.098,48.926,46.1469,14.3961,1.7675,517.4653,2213.1766,11.4227,-0.484
0.099,54.2101,46.6527,14.3584,1.9171,517.6945,2206.8478,11.6288,-0.6091
0.1,59.7278,47.0897,14.4828,2.0082,520.0442,2201.2475,11.9576,0.0614
0.101,65.8109,47.0354,14.5963,2.1419,519.8867,2193.5766,12.3873,0.5229
0.102,70.6527,47.4723,14.7138,2.2483,523.1656,2182.1422,12.6489,0.5625
0.103,71.8225,48.3922,14.6496,2.2617,523.4331,2180.8298,12.8233,0.5038
0.104,72.1666,48.4864,14.7866,2.2946,524.5519,2172.5015,12.9135,0.7363
0.105,70.7542,49.0332,14.9572,2.2507,525.6363,2165.3574,13.0147,0.4121
0.106,66.8816,49.3672,15.014,2.2422,529.4527,2156.8046,12.8946,-0.0622
0.107,63.6552,49.2346,15.0,2.1264,530.1192,2153.9271,12.7728,0.2729
0.108,60.8474,49.4366,15.0272,2.0117,529.781,2152.7962,12.526,0.3941
0.109,59.3704,49.5067,15.0069,1.9401,529.1307,2148.498,12.3797,0.1544
0.11,60.6137,50.172,14.9295,1.8373,530.554,2149.8966,11.9699,0.2966
0.111,60.0134,50.0475,14.9867,1.7893,533.7376,2150.0012,11.7413,0.284
0.112,59.4979,50.3167,14.902,1.6922,535.2085,2153.4029,11.3975,-0.384
0.113,57.2754,49.6841,14.8207,1.709,534.6805,2152.2884,11.2,-0.5237
0.114,53.5144,49.8384,14.6608,1.7521,533.182,2159.4875,11.0476,-0.5062
0.115,49.9374,50.1416,14.6462,1.8269,535.6551,2163.4936,11.0042,-0.8241
0.116,47.5492,49.2332,14.5855,1.9136,537.7355,2166.5874,11.0334,-0.7645
0.117,47.0716,49.8487,14.4778,2.0502,537.3459,2177.2451,11.1767,-0.1625
0.118,49.8273,49.4882,14.2605,2.1703,540.0164,2184.5789,11.445,0.0393
0.119,53.8228,48.7304,14.3287,2.2217,538.8063,2190.7433,11.6143,-0.1678
0.12,59.4986,48.7985,14.1781,2.2451,539.3338,2198.6071,11.9215,0.1862
0.121,66.415,48.6102,14.1296,2.2711,538.7635,2207.3499,12.3109,0.3592
0.122,70.6997,48.1181,14.1443,2.2912,538.7695,2216.7916,12.5172,-0.0192
0.123,72.8304,47.9487,14.0293,2.207,539.5815,2220.6914,12.9124,0.0352
0.124,72.2343,47.1428,14.0061,2.1447,540.5637,2229.223,13.0057,0.4314
0.125,70.2604,46.3934,13.9852,2.0223,540.8645,2233.1022,12.9866,0.4549
0.126,65.8837,46.9276,13.9693,1.9452,539.0453,2239.0893,12.9301,0.5187
0.127,62.9659,46.1168,14.0771,1.7764,539.9425,2242.8127,12.8654,0.8023
0.128,60.2112,45.984,14.101,1.6978,539.7857,2246.3215,12.5661,0.6863
0.129,59.6338,45.3072,14.1168,1.684,538.2421,2249.8626,12.347,-0.0189
0.13,59.4201,45.4113,14.2118,1.7226,539.1854,2252.6718,11.972,-0.1144
0.131,60.7616,45.3098,14.2559,1.7713,537.3996,2251.2382,11.6353,-0.2455
0.132,59.413,44.2795,14.3835,1.8234,536.2801,2248.7553,11.5075,-0.6843
0.133,56.6925,44.7592,14.4264,1.9127,535.4468,2249.0749,11.2609,-0.7118
0.134,53.3419,44.2895,14.6298,2.0763,537.9704,2237.5832,11.0193,-0.2042
0.135,49.6021,44.1139,14.6304,2.2051,535.8352,2232.2813,11.1564,-0.1816
0.136,48.1631,44.0871,14.7671,2.2835,534.814,2231.0109,10.9973,-0.4463
0.137,45.7279,44.04,14.7964,2.2968,534.6881,2222.4001,11.1956,-0.1516
0.138,48.2829,44.2646,14.9653,2.2854,533.0066,2214.2055,11.474,-0.2738
0.139,53.8925,44.044,15.0084,2.235,530.7772,2205.7466,11.8163,-0.5695
0.14,59.8677,44.2603,14.9354,2.1653,532.1783,2205.1929,12.0231,-0.3158
0.141,65.5616,44.3534,14.9987,2.1036,529.7192,2194.064,12.3066,0.1772
0.142,69.8946,44.8795,15.0354,1.9748,528.982,2183.5235,12.5227,0.2523
0.143,73.7157,44.8864,14.922,1.8725,528.9269,2179.1564,12.8158,0.593
0.144,72.4866,44.8025,14.9906,1.7925,528.6415,2171.4988,12.9484,0.9764
0.145,69.5301,45.7763,14.9734,1.735,524.819,2162.5867,12.9155,0.6502
0.146,65.8089,45.4099,14.8253,1.703,524.3097,2160.3385,13.0204,0.241
0.147,64.1466,45.9421,14.929,1.6966,523.493,2155.7282,12.8863,0.2523
0.148,60.694,45.7363,14.6479,1.7661,523.4728,2151.8756,12.4766,0.1297
0.149,60.2128,47.1224,14.5598,1.8785,521.1908,2152.0563,12.2651,-0.2763
0.15,60.0249,46.827,14.5127,2.0114,520.6728,2147.655,12.0815,-0.0621
0.151,60.5997,47.5374,14.4067,2.0905,518.632,2148.9615,11.6623,0.2489
0.152,58.4904,47.8174,14.362,2.208,518.733,2153.9114,11.3525,-0.0553
0.153,57.4871,48.2705,14.2954,2.2263,517.6837,2154.3978,11.1753,-0.2524
0.154,53.2922,48.7281,14.1683,2.2918,514.8063,2159.0456,11.0559,-0.3431
0.155,50.3122,48.6229,14.0002,2.2726,515.3065,2165.2957,11.035,-0.6006
0.156,47.7813,49.0648,14.0865,2.2361,512.2519,2167.3073,10.9918,-0.972
0.157,47.7749,49.0643,14.0633,2.1631,511.3417,2177.2681,11.1544,-0.5787
0.158,49.6114,49.784,13.9853,2.0266,509.8693,2186.5478,11.44,-0.2045
0.159,53.8767,49.6697,14.0621,1.9452,508.7352,2191.0992,11.6875,-0.1949
0.16,60.9931,50.1379,14.0896,1.8356,507.3796,2197.9363,11.9844,0.2663
0.161,67.1725,49.7304,14.0562,1.7402,508.6398,2207.0627,12.3979,0.5732
0.162,69.5481,50.2064,14.1676,1.7093,507.3416,2215.9173,12.5684,0.3274
0.163,72.7924,49.9812,14.223,1.7185,504.4483,2221.3492,12.7894,0.1069
0.164,71.8833,49.7474,14.3829,1.7755,505.2812,2229.2444,12.9244,0.3736
0.165,70.8993,49.919,14.3607,1.7963,504.3642,2234.7317,12.979,0.2469
0.166,67.0408,49.4894,14.5145,1.9425,502.3607,2240.2338,12.9317,0.1726
0.167,63.0317,50.0139,14.5627,2.0662,502.7854,2241.8013,12.7678,0.5171
0.168,61.8187,49.1815,14.6328,2.1618,502.152,2251.8566,12.5887,0.5977
0.169,60.9554,48.8915,14.7254,2.2677,501.2461,2252.6925,12.2923,0.2644
0.17,60.1781,48.5835,14.7603,2.2302,499.0795,2250.0522,11.9108,0.1176
0.171,60.2042,48.5775,14.7581,2.2991,499.2184,2251.5529,11.714,-0.0141
0.172,59.8005,48.3445,14.8957,2.2656,499.9194,2247.8543,11.4257,-0.5887
0.173,57.1386,47.6924,14.8975,2.1839,498.5319,2244.0055,11.1805,-0.8115
0.174,53.2137,47.2847,14.9985,2.1055,500.7568,2238.3021,11.0089,-0.4264
0.175,50.7524,47.1427,14.9467,1.998,499.6037,2236.789,10.9916,-0.4768
0.176,48.5226,46.882,14.9223,1.8889,502.053,2228.6742,10.9637,-0.4181
0.177,47.1708,46.1949,14.9376,1.7919,500.2796,2222.099,11.2092,0.0774
0.178,48.9136,45.7375,14.9504,1.6997,499.2939,2212.921,11.4683,-0.0096
0.179,53.4625,45.3749,14.8513,1.7233,499.1551,2206.3452,11.7262,-0.2818
0.18,60.6922,44.904,14.7519,1.7497,499.5826,2196.5689,12.0227,-0.2251
0.181,66.3433,45.1725,14.7271,1.7614,501.2703,2188.3761,12.2615,0.0025
0.182,70.4147,44.5042,14.6592,1.8422,501.8346,2188.5456,12.7215,-0.0864
0.183,72.2134,44.7576,14.497,1.9708,503.1366,2180.3925,12.8102,0.2229
0.184,72.8217,44.3958,14.3728,2.0965,501.8671,2168.9796,12.9468,0.7313
0.185,70.1827,43.9476,14.3705,2.1937,504.3789,2162.6731,13.0672,0.7818
0.186,67.0596,43.7288,14.3383,2.2566,504.2722,2157.7769,12.952,0.4497
0.187,63.2714,44.0894,14.1873,2.2937,504.4711,2154.916,12.815,0.6189
0.188,62.0989,44.3127,14.0988,2.3161,506.4759,2150.1655,12.6025,0.3785
0.189,60.1791,43.9371,14.1374,2.2502,507.2829,2147.7666,12.3008,-0.173
0.19,59.6724,44.1457,14.0517,2.2188,508.5684,2147.4327,12.0528,-0.2904
0.191,60.3555,44.3479,13.9489,2.0696,509.1443,2150.483,11.5545,-0.0708
0.192,58.7627,44.5225,14.1117,1.9587,510.7267,2152.8734,11.412,-0.3738
0.193,54.9496,44.8393,14.0534,1.8191,511.2115,2154.5286,11.1971,-0.2299
0.194,53.5521,44.8021,13.9592,1.7445,512.9112,2162.19,11.1421,-0.0289
0.195,49.7225,45.5872,14.1119,1.7125,513.7576,2164.0513,10.9515,-0.4143
0.196,47.2161,45.4793,14.117,1.725,515.1953,2168.9061,10.9881,-0.6659
0.197,46.9658,45.6212,14.1892,1.7579,516.1493,2174.4428,11.1564,-0.4795
0.198,48.8264,46.1532,14.2939,1.7772,515.5861,2186.0603,11.4483,-0.5327
0.199,54.2272,46.7659,14.4654,1.8644,518.9069,2190.0019,11.6569,-0.5987
0.2,60.3636,47.1832,14.5444,2.0126,522.1126,2203.9376,12.0631,-0.0007
0.201,65.8065,47.4374,14.6035,2.1163,521.2292,2211.0034,12.3231,0.5982
0.202,70.4077,48.0746,14.664,2.205,523.0089,2215.551,12.6751,0.5236
0.203,72.5983,47.8309,14.8122,2.2552,522.8007,2221.3822,12.8606,0.5175
0.204,73.6036,48.5577,14.8275,2.3021,525.1045,2232.45,12.9915,0.7024
0.205,70.3896,48.648,14.9191,2.2998,525.8257,2232.4485,13.0437,0.3403
0.206,66.8068,49.5765,14.9696,2.2421,526.3966,2243.0729,12.9509,0.092
0.207,62.4695,49.3274,14.978,2.1662,528.3692,2245.4768,12.7989,0.2742
0.208,61.3754,49.5901,15.0928,2.0423,529.4643,2248.7505,12.5351,0.347
0.209,60.8171,49.6007,15.1298,1.9031,529.9877,2246.1813,12.2291,0.1864
0.21,59.6182,49.8416,14.9678,1.8329,533.0265,2253.8056,11.9439,0.2367
0.211,59.8717,49.9562,14.9186,1.7575,531.1955,2247.8656,11.813,0.2552
0.212,57.0304,49.6889,14.9437,1.6999,534.0347,2247.4638,11.4196,-0.2928
0.213,56.7215,49.9652,14.8012,1.6903,535.6485,2249.5127,11.2041,-0.5702
0.214,54.0925,49.8809,14.7907,1.7638,536.539,2239.2694,11.0598,-0.5787
0.215,49.8436,49.941,14.6255,1.8164,536.851,2236.6707,11.0005,-0.7733
0.216,47.1906,49.8107,14.558,1.9087,537.7138,2227.8617,11.0407,-0.8131
0.217,47.3995,49.6771,14.4403,2.0624,539.6305,2221.8609,11.0415,-0.2723
0.218,49.2571,49.3144,14.3156,2.1319,539.425,2215.0596,11.4166,0.0691
0.219,54.1005,49.1235,14.2761,2.2421,539.323,2207.0213,11.661,0.0702
0.22,59.3191,49.0129,14.1041,2.3081,540.1858,2199.2336,12.0053,0.1533
0.221,65.6907,48.3794,14.1879,2.2772,538.33,2191.9016,12.2872,0.2668
0.222,71.5183,48.1218,14.0571,2.2195,539.1726,2187.7704,12.5675,-0.0646
0.223,73.0102,47.4224,14.0091,2.1728,539.4378,2180.3753,12.8331,-0.0013
0.224,71.7589,47.3379,14.0664,2.1116,540.7018,2171.1342,12.9529,0.3486
0.225,70.263,47.2607,14.039,1.9806,540.0949,2163.0377,13.0159,0.4731
0.226,66.719,46.6891,14.0527,1.8562,540.3217,2160.7331,13.0233,0.5192
0.227,63.1663,46.14,14.0756,1.8086,539.817,2155.346,12.7821,0.8742
0.228,61.2869,45.9117,14.06,1.7334,540.6243,2152.8122,12.5776,0.6396
0.229,60.5775,45.819,14.1541,1.702,538.2512,2150.1057,12.2893,0.0118
0.23,59.3365,45.5793,14.2842,1.6979,537.7804,2149.1928,11.949,-0.2059
0.231,59.8204,44.9729,14.2922,1.7929,537.1246,2152.3119,11.7927,-0.21
0.232,59.0852,44.5976,14.3333,1.8512,539.2822,2155.5804,11.4699,-0.5202
0.233,57.0329,44.4176,14.497,1.9697,536.9713,2153.5938,11.1293,-0.6149
0.234,53.6598,44.2894,14.5836,2.0679,536.5999,2157.4938,11.0054,-0.2308
0.235,49.697,44.1783,14.6814,2.1522,534.9415,2163.9636,11.0521,-0.2122
0.236,47.5137,44.0371,14.6268,2.2589,534.8972,2170.4775,11.0313,-0.4154
0.237,47.676,44.0654,14.787,2.2943,535.4344,2177.0004,11.2639,-0.1718
0.238,50.2547,43.8467,14.8823,2.2925,533.8642,2183.6256,11.4526,-0.3622
0.239,54.8933,43.758,14.9164,2.2662,531.9746,2191.2264,11.6796,-0.6386
0.24,59.8577,44.1021,14.9131,2.1816,528.954,2200.7988,11.9122,-0.2429
0.241,66.3926,44.2469,14.9708,2.0663,529.7351,2205.5754,12.305,0.1566
0.242,70.3233,44.6157,15.022,1.9802,530.2572,2215.8785,12.6801,0.2656
0.243,74.2755,44.5288,15.1269,1.8513,528.559,2221.961,12.8061,0.5059
0.244,73.244,44.8172,14.9014,1.75,527.0829,2232.8249,12.9806,1.0178
0.245,71.0069,45.313,14.9357,1.7139,525.3894,2236.4665,12.9781,0.7362
0.246,65.921,45.7579,14.8462,1.7151,525.4069,2237.5708,12.9639,0.2749
0.247,63.4852,45.7023,14.8501,1.7339,525.3446,2240.5968,12.7738,0.3292
0.248,60.5808,46.43,14.6269,1.7544,525.2848,2247.3965,12.6401,0.1859
0.249,60.3043,46.4303,14.6382,1.8554,521.1678,2248.4756,12.3624,-0.1887
0.25,59.9027,47.2063,14.495,2.0232,517.3793,2247.4247,12.0214,-0.0057
0.251,60.0884,47.5283,14.3725,2.131,520.4559,2248.887,11.682,0.2165
0.252,59.4567,47.3313,14.231,2.2082,518.6167,2249.2324,11.4226,-0.1586
0.253,56.7833,48.3173,14.1934,2.2812,518.3554,2245.2931,11.1191,-0.3552
0.254,52.4787,48.3271,14.1697,2.3225,515.2819,2240.7025,10.9992,-0.1871
0.255,50.0309,48.7035,14.0737,2.2723,512.6086,2235.7328,10.9986,-0.7741
0.256,47.3765,49.2545,13.9945,2.2097,513.3168,2229.9999,11.0979,-1.0145
0.257,46.358,49.177,13.9823,2.1405,511.6531,2222.426,11.2188,-0.527
0.258,49.5449,49.981,13.9743,2.0094,510.215,2215.3953,11.4373,-0.3929
0.259,53.7927,49.6315,13.9182,1.9756,509.2051,2204.7016,11.7318,-0.2965
0.26,60.6664,49.8614,14.0042,1.8205,507.6708,2198.3987,12.0477,0.3583
0.261,66.2508,50.2956,14.0123,1.7529,507.829,2194.6948,12.339,0.6518
0.262,70.9482,49.9253,14.1443,1.7293,504.9885,2184.582,12.557,0.2325
0.263,73.1009,50.1472,14.1538,1.7184,504.7472,2176.4433,12.8093,0.2641
0.264,71.9107,50.3639,14.3517,1.762,504.0701,2171.8856,12.9471,0.3325
0.265,70.5532,49.8426,14.2823,1.7937,502.6969,2167.3903,13.0145,0.1503
0.266,66.6295,49.5983,14.425,1.9544,503.2169,2159.6039,13.0096,0.1615
0.267,63.5136,49.4869,14.5141,2.0218,502.1607,2154.9221,12.8416,0.5046
0.268,61.3108,49.3228,14.6811,2.1429,501.5076,2150.527,12.5874,0.5935
0.269,60.2135,49.2512,14.6345,2.2119,501.4725,2150.7601,12.2997,0.155
0.27,60.8097,48.5795,14.6996,2.2812,501.4654,2149.2787,11.993,0.1372
0.271,60.0494,48.3966,14.8355,2.314,501.1355,2152.2389,11.6582,-0.0299
0.272,59.2323,48.0578,14.9557,2.3008,498.7315,2153.4415,11.3539,-0.6222
0.273,56.1419,47.6027,14.9782,2.199,500.2715,2155.831,11.1529,-0.7741
0.274,53.4217,47.2465,15.0663,2.1212,499.6442,2162.318,11.0592,-0.3482
0.275,50.3372,46.7964,15.0559,1.9879,499.076,2165.8366,10.9782,-0.4959
0.276,47.8918,46.4691,15.0486,1.9018,498.5576,2169.4068,10.9782,-0.4545
0.277,47.229,46.5367,14.9415,1.7859,500.2795,2176.6824,11.2317,0.0031
0.278,49.7097,45.9036,14.7962,1.7171,499.6525,2182.9403,11.3612,0.074
0.279,53.982,45.4472,14.8621,1.7105,500.6497,2190.0998,11.663,-0.2682
0.28,60.2726,45.2003,14.7622,1.6877,501.4128,2198.7406,12.0364,-0.1663
0.281,66.1328,44.8297,14.7059,1.7454,501.0263,2206.9699,12.2355,-0.0317
0.282,71.3199,44.8727,14.6,1.88,501.9383,2213.0974,12.5836,-0.0628
0.283,73.024,44.2579,14.5658,1.9423,503.1333,2222.1426,12.818,0.146
0.284,72.2061,44.203,14.4185,2.1107,503.1818,2230.7296,12.9343,0.7121
0.285,69.7497,43.924,14.3237,2.2053,503.2746,2235.7473,13.0593,0.7901
0.286,67.6978,43.9935,14.3419,2.2228,503.6686,2239.1816,12.8406,0.5327
0.287,64.7155,43.824,14.2534,2.3253,505.9485,2245.7465,12.8116,0.5472
0.288,60.4508,44.1453,14.0009,2.2911,506.6177,2244.3679,12.5672,0.2142
0.289,60.0459,43.9709,14.0439,2.2456,507.4226,2253.5972,12.2461,-0.3176
0.29,59.7816,44.0443,14.013,2.1795,507.5213,2248.6331,12.0294,-0.3146
0.291,59.526,44.0967,14.0119,2.0911,509.3005,2250.1867,11.6405,-0.1436
0.292,58.6855,44.4361,13.9834,1.9382,509.309,2247.7203,11.3602,-0.2822
0.293,56.5809,44.956,13.8951,1.8219,511.0839,2246.4463,11.2513,-0.2307
0.294,52.7271,44.9004,14.0488,1.7517,511.5661,2243.1883,10.9764,-0.0161
0.295,49.2315,45.0712,14.1294,1.6848,514.1151,2237.429,11.0203,-0.3345
0.296,47.1184,45.3633,14.0743,1.6926,514.6446,2228.2733,10.9625,-0.6183
0.297,47.4766,46.1927,14.2739,1.7332,515.6731,2221.6894,11.2127,-0.5042
0.298,49.6548,46.0157,14.281,1.8125,517.4481,2217.5235,11.4007,-0.4898
0.299,54.2544,46.6338,14.4647,1.946,518.4898,2206.1438,11.6779,-0.4629
0.3,60.4089,46.8118,14.4195,1.9922,519.3649,2202.283,12.0456,0.0728
0.301,66.4492,47.7401,14.5899,2.1533,522.0605,2191.0247,12.2892,0.5928
0.302,70.1253,47.9157,14.6728,2.2151,522.7595,2185.0036,12.5716,0.4524
0.303,73.4778,47.8348,14.7701,2.2877,523.2396,2174.611,12.8396,0.5018
0.304,72.6422,48.5376,14.8668,2.3094,525.7463,2170.0927,13.0315,0.719
0.305,69.1937,49.2038,14.9184,2.2828,524.4931,2164.9084,13.0602,0.2294
0.306,66.3218,49.1434,14.9445,2.2651,526.7697,2160.454,12.8847,0.0087
0.307,62.7934,49.3151,15.0896,2.1307,528.7042,2153.0832,12.8022,0.1965
0.308,60.9863,49.5245,14.9887,2.051,530.624,2150.8521,12.6008,0.3346
0.309,60.1342,49.9957,14.9984,1.9245,530.2999,2150.0865,12.2617,0.1875
